,6.1600000e+02,3.0000000e+01
831,563.0,417.0
832,545.0,419.0
833,71.0,420.0
834,486.0,421.0
835,68.0,422.0
836,87.0,422.0
837,491.0,422.0
838,569.0,422.0
839,104.0,423.0
840,504.0,423.0
841,84.0,424.0
842,123.0,425.0
843,101.0,426.0
844,132.0,426.0
845,135.0,427.0
846,139.0,427.0
847,142.0,427.0
848,539.0,427.0
849,120.0,428.0
850,146.0,428.0
851,148.0,428.0
852,153.0,429.0
853,155.0,429.0
854,129.0,430.0
855,133.0,430.0
856,137.0,430.0
857,556.0,430.0
858,139.0,431.0
859,144.0,431.0
860,494.0,431.0
861,499.0,431.0
862,146.0,432.0
863,150.0,432.0
864,153.0,432.0
865,581.0,432.0
866,513.0,433.0
867,550.0,438.0
868,569.0,441.0
869,595.0,444.0
870,510.0,449.0
871,517.0,450.0
872,532.0,453.0
873,572.0,459.0
874,593.0,462.0
875,620.0,466.0
876,525.0,467.0
877,532.0,468.0
878,549.0,470.0
879,588.0,474.0
880,609.0,476.0
881,103.0,478.0
882,534.0,478.0
883,635.0,478.0
884,542.0,479.0
